place,cote,yearStart,yearEnd,url
Niort,3 Q 18/552,1792,1792,https://archives-deux-sevres-vienne.fr/ark:/58825/vtae7a49bd840c632e3/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Bressuire,3 Q 4/96,1792,1792,https://archives-deux-sevres-vienne.fr/ark:/58825/vta0b782b002382abd5/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Champdeniers,3 Q 7/47,1792,1792,https://archives-deux-sevres-vienne.fr/ark:/58825/vta655807b25a4d27e0/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
La Mothe-Saint-Héray,3 Q 17/80,1792,1808,https://archives-deux-sevres-vienne.fr/ark:/58825/vtab9d645edd2a3e7fc/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Châtillon-sur-Sèvre,3 Q 8/38,1792,1815,https://archives-deux-sevres-vienne.fr/ark:/58825/vta8c50261bf1315b54/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Melle,3 Q 15/161,1793,1793,https://archives-deux-sevres-vienne.fr/ark:/58825/vta8c1ccc7517149693/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Saint-Maixent-l'École,3 Q 20/117,1793,1793,https://archives-deux-sevres-vienne.fr/ark:/58825/vta3f5352fca91ce9d0/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Thouars,3 Q 24/155,1793,1804,https://archives-deux-sevres-vienne.fr/ark:/58825/vta03dd8099c6ab0810/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Thénezay,3 Q 23/187,1806,1806,https://archives-deux-sevres-vienne.fr/ark:/58825/vtabd1788a636edc558/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Moncoutant,3 Q 16/32,1814,1814,https://archives-deux-sevres-vienne.fr/ark:/58825/vta241cc79215399198/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Saint-Maixent-l'École,3 Q 20/126,1793,1816,https://archives-deux-sevres-vienne.fr/ark:/58825/vtad66b0cf2dad4ed09/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Niort,3 Q 18/545,1794,1797,https://archives-deux-sevres-vienne.fr/ark:/58825/vta97cf549b5323c8a2/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Mauzé-sur-le-Mignon,3 Q 13/109,1816,1816,https://archives-deux-sevres-vienne.fr/ark:/58825/vta12e815a4f34cfc75/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Niort,3 Q 18/546,1795,1802,https://archives-deux-sevres-vienne.fr/ark:/58825/vta0022b7a245856ba7/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Parthenay,3 Q 19/156,1806,1806,https://archives-deux-sevres-vienne.fr/ark:/58825/vtaf03ec1217ee1805f/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
Sauzé-Vaussais,3 Q 21/83,1810,1810,https://archives-deux-sevres-vienne.fr/ark:/58825/vta5c3f3bfcdb19294d/daogrp/0/layout:table/idsearch:RECH_84502e2f28aebff5779a1ea10c7d255f
